file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
proteins.001.1,3,946791562,6291456,19.8004,349429508,6291456,1.0836,20115806, 104857600
proteins.001.1,4,838861836,6291456,19.9699,245091300,6291456,0.6964,4758028, 104857600
proteins.001.1,5,775947280,6291456,22.0526,212325754,6291456,0.7158,23547754, 104857600
proteins.001.1,6,734004278,6291456,21.8072,191437710,6291456,0.5354,12111882, 104857600
proteins.001.1,7,704044998,6291456,22.6324,179555289,6291456,0.5333,25081093, 104857600
proteins.001.1,8,681575452,6291456,22.3994,166525448,6291456,0.4369,5970496, 104857600
proteins.001.1,9,664099245,6291456,22.8695,163534809,6291456,0.4917,28161298, 104857600
proteins.001.1,15,608175201,6291456,23.4573,145488272,6291456,0.4599,28422382, 104857600
proteins.001.1,30,566232352,6291456,23.4216,133770492,6291456,0.3772,23430488, 104857600
proteins.001.1,60,545261096,6291456,23.5065,131347204,6291456,0.3359,23806644, 104857600
proteins.001.1-gcis-ef,-,5561096,6291456,19.3387,184916344,6291456,7.2760,5103624, 104857600
proteins.001.1-gcis-s8b,-,4907816,6291456,19.6841,184630816,6291456,2.3006,4329053, 104857600
