file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
real-Escherichia_Coli|GCX|956231055|6291456|4.581710000000000|199275350|6291456|0.218531000000000|41500862|112689515
real-Escherichia_Coli|GCIS-ef|636082072|6291456|6.6451|300759896|6291456|3.7342|18801481|112689515
real-Escherichia_Coli|GCIS-s8b|612250910|6291456|6.1879|297300252|6291456|1.3582|15934635|112689515
real-Escherichia_Coli|REPAIR|3404057049|6291456|61.351812|82394036|6291456|1.184049|10819401|112689515
real-Escherichia_Coli|GC3|1051770532|6291456|2.738368000000000|344786068|6291456|0.453620000000000|44280256|112689515
real-Escherichia_Coli|GC4|1014212036|6291456|2.883618000000000|281793228|6291456|0.440960000000000|56413884|112689515
real-Escherichia_Coli|GC5|991683407|6291456|2.642173000000000|248164152|6291456|0.316960000000000|45322719|112689515
real-Escherichia_Coli|GC6|976681990|6291456|2.522227000000000|227422774|6291456|0.290264000000000|39606634|112689515
real-Escherichia_Coli|GC7|966042977|6291456|2.323627000000000|214608164|6291456|0.240296000000000|37524325|112689515
real-Escherichia_Coli|GC8|958405836|6291456|2.295397000000000|205050788|6291456|0.238902000000000|36016292|112689515
real-Escherichia_Coli|GC9|953961592|6291456|2.441964000000000|199466985|6291456|0.230001000000000|36693000|112689515
real-Escherichia_Coli|GC11|971089706|6291456|2.385875000000000|213826597|6291456|0.393952000000000|60158770|112689515
real-Escherichia_Coli|GC15|1009887289|6291456|2.562344000000000|244787444|6291456|0.364109000000000|102047045|112689515
real-Escherichia_Coli|GC30|1012981744|6291456|2.433649000000000|235242088|6291456|0.314553000000000|107526724|112689515
real-Escherichia_Coli|GC32|1012448388|6291456|2.358594000000000|233998464|6291456|0.297892000000000|107221872|112689515
real-Escherichia_Coli|GC60|1014946384|6291456|2.068470000000000|231347856|6291456|0.200027000000000|111144240|112689515
real-Escherichia_Coli|GC64|1015425540|6291456|2.008956000000000|231499164|6291456|0.173592000000000|111762492|112689515
