file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
influenza,3,1397818548,6291456, 3.53,515990104,6291456, 0.55,24786827,154808555
influenza,4,1238473584,6291456, 3.23,361184972,6291456, 0.41,25523924,154808555
influenza,5,1145588459,6291456, 3.23,309638294,6291456, 0.34,25905283,154808555
influenza,6,1083665040,6291456, 3.26,278701984,6291456, 0.31,26064988,154808555
influenza,7,1039434040,6291456, 3.18,258169692,6291456, 0.29,26886185,154808555
influenza,8,1006260796,6291456, 3.27,243804748,6291456, 0.31,29101700,154808555
influenza,9,980459367,6291456, 3.27,233974485,6291456, 0.32,30751728,154808555
influenza,15,897894909,6291456, 3.12,211146441,6291456, 0.29,37505798,154808555
influenza,30,835971624,6291456, 3.06,211229726,6291456, 0.30,49557806,154808555
influenza,60,805010120,6291456, 2.77,236263588,6291456, 0.29,78138272,154808555
influenza-gcis-ef, 0, 0, 0, 0, 0,0, 0,8758648,154808555
influenza-gcis-s8b, 0, 0, 0, 0, 0,0, 0,7361187,154808555
